i,t,g,s_itg
1,1,leve,26.0
1,1,moderado,0.0
1,2,leve,0.0
1,2,moderado,0.0
1,3,leve,0.0
1,3,moderado,0.0
1,4,leve,0.0
1,4,moderado,0.0
1,5,leve,0.0
1,5,moderado,0.0
1,6,leve,0.0
1,6,moderado,0.0
1,7,leve,0.0
1,7,moderado,0.0
2,1,leve,0.0
2,1,moderado,0.0
2,2,leve,0.0
2,2,moderado,0.0
2,3,leve,0.0
2,3,moderado,0.0
2,4,leve,0.0
2,4,moderado,0.0
2,5,leve,0.0
2,5,moderado,0.0
2,6,leve,0.0
2,6,moderado,0.0
2,7,leve,0.0
2,7,moderado,0.0
3,1,leve,0.0
3,1,moderado,0.0
3,2,leve,0.0
3,2,moderado,0.0
3,3,leve,0.0
3,3,moderado,0.0
3,4,leve,0.0
3,4,moderado,0.0
3,5,leve,0.0
3,5,moderado,0.0
3,6,leve,0.0
3,6,moderado,0.0
3,7,leve,0.0
3,7,moderado,0.0
4,1,leve,0.0
4,1,moderado,0.0
4,2,leve,0.0
4,2,moderado,0.0
4,3,leve,0.0
4,3,moderado,0.0
4,4,leve,0.0
4,4,moderado,0.0
4,5,leve,0.0
4,5,moderado,0.0
4,6,leve,0.0
4,6,moderado,0.0
4,7,leve,0.0
4,7,moderado,0.0
5,1,leve,7.0
5,1,moderado,0.0
5,2,leve,0.0
5,2,moderado,0.0
5,3,leve,0.0
5,3,moderado,0.0
5,4,leve,0.0
5,4,moderado,0.0
5,5,leve,0.0
5,5,moderado,0.0
5,6,leve,0.0
5,6,moderado,0.0
5,7,leve,0.0
5,7,moderado,0.0
